Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Imports,1957-09-30T00:00:00,1074,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-10-31T00:00:00,1086,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-11-30T00:00:00,1065,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1957-12-31T00:00:00,1080,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-01-31T00:00:00,1053,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-02-28T00:00:00,1022,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-03-31T00:00:00,1051,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-04-30T00:00:00,1051,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-05-31T00:00:00,1066,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-06-30T00:00:00,1037,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-07-31T00:00:00,1023,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-08-31T00:00:00,1046,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-09-30T00:00:00,1083,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-10-31T00:00:00,1091,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-11-30T00:00:00,1156,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1958-12-31T00:00:00,1139,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-01-31T00:00:00,1166,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-02-28T00:00:00,1202,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-03-31T00:00:00,1220,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-04-30T00:00:00,1218,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-05-31T00:00:00,1330,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-06-30T00:00:00,1301,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-07-31T00:00:00,1227,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-08-31T00:00:00,1289,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-09-30T00:00:00,1411,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-10-31T00:00:00,1184,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-11-30T00:00:00,1292,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1959-12-31T00:00:00,1353,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-01-31T00:00:00,1883,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-02-29T00:00:00,1989,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-03-31T00:00:00,1927,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-04-30T00:00:00,1988,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-05-31T00:00:00,1913,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-06-30T00:00:00,1911,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-07-31T00:00:00,1925,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-08-31T00:00:00,1902,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-09-30T00:00:00,1867,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-10-31T00:00:00,1828,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-11-30T00:00:00,1793,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1960-12-31T00:00:00,1773,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-01-31T00:00:00,1791,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-02-28T00:00:00,1791,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-03-31T00:00:00,1801,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-04-30T00:00:00,1799,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-05-31T00:00:00,1803,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-06-30T00:00:00,1821,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-07-31T00:00:00,1992,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-08-31T00:00:00,1876,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-09-30T00:00:00,1899,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-10-31T00:00:00,1944,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-11-30T00:00:00,1951,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1961-12-31T00:00:00,1972,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-01-31T00:00:00,1977,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-02-28T00:00:00,1982,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-03-31T00:00:00,1996,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-04-30T00:00:00,2032,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-05-31T00:00:00,2060,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-06-30T00:00:00,2019,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-07-31T00:00:00,2009,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-08-31T00:00:00,2015,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-09-30T00:00:00,2147,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-10-31T00:00:00,2025,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-11-30T00:00:00,2128,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1962-12-31T00:00:00,2089,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-01-31T00:00:00,1775,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-02-28T00:00:00,2196,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-03-31T00:00:00,2171,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-04-30T00:00:00,2101,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-05-31T00:00:00,2098,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-06-30T00:00:00,2121,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-07-31T00:00:00,2154,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-08-31T00:00:00,2214,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-09-30T00:00:00,2162,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-10-31T00:00:00,2165,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-11-30T00:00:00,2165,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1963-12-31T00:00:00,2194,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-01-31T00:00:00,2134,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-02-29T00:00:00,2175,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-03-31T00:00:00,2231,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-04-30T00:00:00,2239,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-05-31T00:00:00,2249,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-06-30T00:00:00,2239,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-07-31T00:00:00,2294,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-08-31T00:00:00,2303,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-09-30T00:00:00,2277,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-10-31T00:00:00,2279,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-11-30T00:00:00,2417,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1964-12-31T00:00:00,2384,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-01-31T00:00:00,1928,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-02-28T00:00:00,2335,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-03-31T00:00:00,2590,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-04-30T00:00:00,2567,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-05-31T00:00:00,2553,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-06-30T00:00:00,2604,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-07-31T00:00:00,2496,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-08-31T00:00:00,2579,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-09-30T00:00:00,2612,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-10-31T00:00:00,2683,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-11-30T00:00:00,2739,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1965-12-31T00:00:00,2709,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-01-31T00:00:00,2794,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-02-28T00:00:00,2841,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-03-31T00:00:00,2878,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-04-30T00:00:00,2957,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-05-31T00:00:00,2927,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-06-30T00:00:00,2969,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-07-31T00:00:00,3114,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-08-31T00:00:00,3035,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-09-30T00:00:00,3186,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-10-31T00:00:00,3209,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-11-30T00:00:00,3101,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1966-12-31T00:00:00,3102,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-01-31T00:00:00,3272,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-02-28T00:00:00,3171,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-03-31T00:00:00,3121,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-04-30T00:00:00,3193,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-05-31T00:00:00,3113,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-06-30T00:00:00,3179,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-07-31T00:00:00,3265,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-08-31T00:00:00,3165,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-09-30T00:00:00,3218,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-10-31T00:00:00,3239,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-11-30T00:00:00,3381,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1967-12-31T00:00:00,3478,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-01-31T00:00:00,3686,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-02-29T00:00:00,3591,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-03-31T00:00:00,3587,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-04-30T00:00:00,3601,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-05-31T00:00:00,3752,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-06-30T00:00:00,3789,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-07-31T00:00:00,3768,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-08-31T00:00:00,3915,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-09-30T00:00:00,3994,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-10-31T00:00:00,3798,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-11-30T00:00:00,3945,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1968-12-31T00:00:00,3970,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-01-31T00:00:00,3060,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-02-28T00:00:00,3730,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-03-31T00:00:00,4040,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-04-30T00:00:00,4284,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-05-31T00:00:00,4357,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-06-30T00:00:00,4253,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-07-31T00:00:00,4197,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-08-31T00:00:00,4286,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-09-30T00:00:00,4201,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-10-31T00:00:00,4352,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-11-30T00:00:00,4340,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1969-12-31T00:00:00,4238,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-01-31T00:00:00,4372,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-02-28T00:00:00,4429,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-03-31T00:00:00,4369,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-04-30T00:00:00,4492,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-05-31T00:00:00,4567,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-06-30T00:00:00,4495,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-07-31T00:00:00,4492,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-08-31T00:00:00,4584,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-09-30T00:00:00,4661,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-10-31T00:00:00,4721,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-11-30T00:00:00,4651,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1970-12-31T00:00:00,4625,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-01-31T00:00:00,4840,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-02-28T00:00:00,4805,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-03-31T00:00:00,4870,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-04-30T00:00:00,5063,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-05-31T00:00:00,5197,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-06-30T00:00:00,5326,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-07-31T00:00:00,5119,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-08-31T00:00:00,5200,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-09-30T00:00:00,5466,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-10-31T00:00:00,4785,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-11-30T00:00:00,4772,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1971-12-31T00:00:00,5485,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-01-31T00:00:00,5827,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-02-29T00:00:00,5864,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-03-31T00:00:00,5906,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-04-30T00:00:00,5826,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-05-31T00:00:00,5895,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-06-30T00:00:00,5877,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-07-31T00:00:00,5930,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-08-31T00:00:00,6091,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-09-30T00:00:00,5977,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-10-31T00:00:00,6195,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-11-30T00:00:00,6605,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1972-12-31T00:00:00,6459,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-01-31T00:00:00,6782,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-02-28T00:00:00,7021,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-03-31T00:00:00,6952,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-04-30T00:00:00,6940,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-05-31T00:00:00,7283,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-06-30T00:00:00,7355,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-07-31T00:00:00,7376,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1973-08-31T00:00:00,7557,Monthly,TBIMTOT,2016-03-04T14:46:00
