Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,1958-01-31T00:00:00,1423,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-02-28T00:00:00,1322,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-03-31T00:00:00,1385,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-04-30T00:00:00,1364,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-05-31T00:00:00,1379,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-06-30T00:00:00,1337,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-07-31T00:00:00,1361,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-08-31T00:00:00,1365,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-09-30T00:00:00,1354,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-10-31T00:00:00,1349,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-11-30T00:00:00,1401,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-12-31T00:00:00,1339,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-01-31T00:00:00,1314,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-02-28T00:00:00,1256,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-03-31T00:00:00,1326,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-04-30T00:00:00,1305,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-05-31T00:00:00,1320,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-06-30T00:00:00,1357,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-07-31T00:00:00,1397,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-08-31T00:00:00,1432,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-09-30T00:00:00,1528,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-10-31T00:00:00,1328,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-11-30T00:00:00,1376,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-12-31T00:00:00,1493,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-01-31T00:00:00,2048,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-02-29T00:00:00,2068,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-03-31T00:00:00,2055,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-04-30T00:00:00,2199,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-05-31T00:00:00,2216,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-06-30T00:00:00,2215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-07-31T00:00:00,2195,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-08-31T00:00:00,2144,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-09-30T00:00:00,2145,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-10-31T00:00:00,2212,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-11-30T00:00:00,2200,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-12-31T00:00:00,2158,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-01-31T00:00:00,2116,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-02-28T00:00:00,2202,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-03-31T00:00:00,2249,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-04-30T00:00:00,2223,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-05-31T00:00:00,2164,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-06-30T00:00:00,2207,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-07-31T00:00:00,2187,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-08-31T00:00:00,2184,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-09-30T00:00:00,2158,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-10-31T00:00:00,2339,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-11-30T00:00:00,2268,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1961-12-31T00:00:00,2230,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-01-31T00:00:00,2222,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-02-28T00:00:00,2374,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-03-31T00:00:00,2219,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-04-30T00:00:00,2472,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-05-31T00:00:00,2432,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-06-30T00:00:00,2545,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-07-31T00:00:00,2272,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-08-31T00:00:00,2231,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-09-30T00:00:00,2420,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-10-31T00:00:00,2112,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-11-30T00:00:00,2287,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1962-12-31T00:00:00,2381,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-01-31T00:00:00,1603,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-02-28T00:00:00,2759,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-03-31T00:00:00,2570,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-04-30T00:00:00,2644,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-05-31T00:00:00,2616,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-06-30T00:00:00,2554,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-07-31T00:00:00,2379,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-08-31T00:00:00,2452,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-09-30T00:00:00,2504,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-10-31T00:00:00,2520,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-11-30T00:00:00,2523,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1963-12-31T00:00:00,2636,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-01-31T00:00:00,2693,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-02-29T00:00:00,2717,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-03-31T00:00:00,2708,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-04-30T00:00:00,2777,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-05-31T00:00:00,2772,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-06-30T00:00:00,2776,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-07-31T00:00:00,2735,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-08-31T00:00:00,2712,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-09-30T00:00:00,2854,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-10-31T00:00:00,2811,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-11-30T00:00:00,2844,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1964-12-31T00:00:00,3055,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-01-31T00:00:00,1910,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-02-28T00:00:00,2305,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-03-31T00:00:00,3421,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-04-30T00:00:00,3222,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-05-31T00:00:00,3115,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1965-06-30T00:00:00,3051,Monthly,TBEXTOT,2016-03-04T14:46:00
