Symbol,Date,Open,High,Low,Close,
SPGSCITR:IND,1992-01-01,2291.9,2291.9,2291.9,2291.9,
SPGSCITR:IND,1991-12-31,2291.9,2291.9,2291.9,2291.9,
SPGSCITR:IND,1991-12-30,2259.3,2259.3,2259.3,2259.3,
SPGSCITR:IND,1991-12-27,2273.5,2273.5,2273.5,2273.5,
SPGSCITR:IND,1991-12-26,2264.9,2264.9,2264.9,2264.9,
SPGSCITR:IND,1991-12-25,2298.4,2298.4,2298.4,2298.4,
SPGSCITR:IND,1991-12-24,2298.4,2298.4,2298.4,2298.4,
SPGSCITR:IND,1991-12-23,2282.1,2282.1,2282.1,2282.1,
SPGSCITR:IND,1991-12-20,2261.7,2261.7,2261.7,2261.7,
SPGSCITR:IND,1991-12-19,2295,2295,2295,2295,
SPGSCITR:IND,1991-12-18,2319.7,2319.7,2319.7,2319.7,
SPGSCITR:IND,1991-12-17,2333,2333,2333,2333,
SPGSCITR:IND,1991-12-16,2347.1,2347.1,2347.1,2347.1,
SPGSCITR:IND,1991-12-13,2357.8,2357.8,2357.8,2357.8,
SPGSCITR:IND,1991-12-12,2344.2,2344.2,2344.2,2344.2,
SPGSCITR:IND,1991-12-11,2328,2328,2328,2328,
SPGSCITR:IND,1991-12-10,2326,2326,2326,2326,
SPGSCITR:IND,1991-12-09,2327.5,2327.5,2327.5,2327.5,
SPGSCITR:IND,1991-12-06,2365.5,2365.5,2365.5,2365.5,
SPGSCITR:IND,1991-12-05,2391.9,2391.9,2391.9,2391.9,
SPGSCITR:IND,1991-12-04,2416.5,2416.5,2416.5,2416.5,
SPGSCITR:IND,1991-12-03,2403,2403,2403,2403,
SPGSCITR:IND,1991-12-02,2441.2,2441.2,2441.2,2441.2,
SPGSCITR:IND,1991-11-29,2466.4,2466.4,2466.4,2466.4,
SPGSCITR:IND,1991-11-28,2461.7,2461.7,2461.7,2461.7,
SPGSCITR:IND,1991-11-27,2461.7,2461.7,2461.7,2461.7,
SPGSCITR:IND,1991-11-26,2450,2450,2450,2450,
SPGSCITR:IND,1991-11-25,2470.5,2470.5,2470.5,2470.5,
SPGSCITR:IND,1991-11-22,2464.8,2464.8,2464.8,2464.8,
SPGSCITR:IND,1991-11-21,2496,2496,2496,2496,
SPGSCITR:IND,1991-11-20,2505.6,2505.6,2505.6,2505.6,
SPGSCITR:IND,1991-11-19,2496.8,2496.8,2496.8,2496.8,
SPGSCITR:IND,1991-11-18,2512.1,2512.1,2512.1,2512.1,
SPGSCITR:IND,1991-11-15,2537.6,2537.6,2537.6,2537.6,
SPGSCITR:IND,1991-11-14,2523.5,2523.5,2523.5,2523.5,
SPGSCITR:IND,1991-11-13,2503.9,2503.9,2503.9,2503.9,
SPGSCITR:IND,1991-11-12,2509.9,2509.9,2509.9,2509.9,
SPGSCITR:IND,1991-11-11,2520.7,2520.7,2520.7,2520.7,
SPGSCITR:IND,1991-11-08,2555.6,2555.6,2555.6,2555.6,
SPGSCITR:IND,1991-11-07,2559.6,2559.6,2559.6,2559.6,
SPGSCITR:IND,1991-11-06,2576,2576,2576,2576,
SPGSCITR:IND,1991-11-05,2600.1,2600.1,2600.1,2600.1,
SPGSCITR:IND,1991-11-04,2593.2,2593.2,2593.2,2593.2,
SPGSCITR:IND,1991-11-01,2592.3,2592.3,2592.3,2592.3,
SPGSCITR:IND,1991-10-31,2570.3,2570.3,2570.3,2570.3,
SPGSCITR:IND,1991-10-30,2562.6,2562.6,2562.6,2562.6,
SPGSCITR:IND,1991-10-29,2560.6,2560.6,2560.6,2560.6,
SPGSCITR:IND,1991-10-28,2563.5,2563.5,2563.5,2563.5,
SPGSCITR:IND,1991-10-25,2562.9,2562.9,2562.9,2562.9,
SPGSCITR:IND,1991-10-24,2590.8,2590.8,2590.8,2590.8,
SPGSCITR:IND,1991-10-23,2570.8,2570.8,2570.8,2570.8,
SPGSCITR:IND,1991-10-22,2600.8,2600.8,2600.8,2600.8,
SPGSCITR:IND,1991-10-21,2608.4,2608.4,2608.4,2608.4,
SPGSCITR:IND,1991-10-18,2606.4,2606.4,2606.4,2606.4,
SPGSCITR:IND,1991-10-17,2592.9,2592.9,2592.9,2592.9,
SPGSCITR:IND,1991-10-16,2579.5,2579.5,2579.5,2579.5,
SPGSCITR:IND,1991-10-15,2569.4,2569.4,2569.4,2569.4,
SPGSCITR:IND,1991-10-14,2558.7,2558.7,2558.7,2558.7,
SPGSCITR:IND,1991-10-11,2542.2,2542.2,2542.2,2542.2,
SPGSCITR:IND,1991-10-10,2538.6,2538.6,2538.6,2538.6,
SPGSCITR:IND,1991-10-09,2551,2551,2551,2551,
SPGSCITR:IND,1991-10-08,2546.4,2546.4,2546.4,2546.4,
SPGSCITR:IND,1991-10-07,2543.9,2543.9,2543.9,2543.9,
SPGSCITR:IND,1991-10-04,2524.3,2524.3,2524.3,2524.3,
SPGSCITR:IND,1991-10-03,2520.4,2520.4,2520.4,2520.4,
SPGSCITR:IND,1991-10-02,2504.2,2504.2,2504.2,2504.2,
SPGSCITR:IND,1991-10-01,2499.1,2499.1,2499.1,2499.1,
SPGSCITR:IND,1991-09-30,2498.6,2498.6,2498.6,2498.6,
SPGSCITR:IND,1991-09-27,2510,2510,2510,2510,
SPGSCITR:IND,1991-09-26,2499.9,2499.9,2499.9,2499.9,
SPGSCITR:IND,1991-09-25,2505.1,2505.1,2505.1,2505.1,
SPGSCITR:IND,1991-09-24,2500.4,2500.4,2500.4,2500.4,
SPGSCITR:IND,1991-09-23,2491.2,2491.2,2491.2,2491.2,
SPGSCITR:IND,1991-09-20,2481.5,2481.5,2481.5,2481.5,
