Symbol,Date,Open,High,Low,Close
SPGSCITR:IND,12-02-2019,2401.464,2401.464,2401.464,2401.464
SPGSCITR:IND,11-02-2019,2381.474,2381.474,2381.474,2381.474
SPGSCITR:IND,08-02-2019,2394.558,2394.558,2394.558,2394.558
SPGSCITR:IND,07-02-2019,2388.337,2388.337,2388.337,2388.337
SPGSCITR:IND,06-02-2019,2426.714,2426.714,2426.714,2426.714
SPGSCITR:IND,05-02-2019,2416.009,2416.009,2416.009,2416.009
SPGSCITR:IND,04-02-2019,2430.325,2430.325,2430.325,2430.325
SPGSCITR:IND,01-02-2019,2433.557,2433.557,2433.557,2433.557
SPGSCITR:IND,31-01-2019,2401.535,2401.535,2401.535,2401.535
SPGSCITR:IND,30-01-2019,2416.01,2416.01,2416.01,2416.01
SPGSCITR:IND,29-01-2019,2396.579,2396.579,2396.579,2396.579
SPGSCITR:IND,28-01-2019,2362.119,2362.119,2362.119,2362.119
SPGSCITR:IND,25-01-2019,2411.171,2411.171,2411.171,2411.171
SPGSCITR:IND,24-01-2019,2393.122,2393.122,2393.122,2393.122
SPGSCITR:IND,23-01-2019,2387.664,2387.664,2387.664,2387.664
SPGSCITR:IND,22-01-2019,2392.488,2392.488,2392.488,2392.488
SPGSCITR:IND,21-01-2019,2430.689,2430.689,2430.689,2430.689
SPGSCITR:IND,18-01-2019,2430.689,2430.689,2430.689,2430.689
SPGSCITR:IND,17-01-2019,2388.47,2388.47,2388.47,2388.47
SPGSCITR:IND,16-01-2019,2389.622,2389.622,2389.622,2389.622
SPGSCITR:IND,15-01-2019,2378.42,2378.42,2378.42,2378.42
SPGSCITR:IND,14-01-2019,2350.28,2350.28,2350.28,2350.28
SPGSCITR:IND,11-01-2019,2369.532,2369.532,2369.532,2369.532
SPGSCITR:IND,10-01-2019,2387.279,2387.279,2387.279,2387.279
SPGSCITR:IND,09-01-2019,2385.502,2385.502,2385.502,2385.502
SPGSCITR:IND,08-01-2019,2322.207,2322.207,2322.207,2322.207
SPGSCITR:IND,07-01-2019,2292.073,2292.073,2292.073,2292.073
SPGSCITR:IND,04-01-2019,2277.501,2277.501,2277.501,2277.501
SPGSCITR:IND,03-01-2019,2244.369,2244.369,2244.369,2244.369
SPGSCITR:IND,02-01-2019,2224.833,2224.833,2224.833,2224.833
SPGSCITR:IND,01-01-2019,2203.469,2203.469,2203.469,2203.469
SPGSCITR:IND,31-12-2018,2203.469,2203.469,2203.469,2203.469
SPGSCITR:IND,28-12-2018,2206.876,2206.876,2206.876,2206.876
SPGSCITR:IND,27-12-2018,2201.97,2201.97,2201.97,2201.97
SPGSCITR:IND,26-12-2018,2237.426,2237.426,2237.426,2237.426
SPGSCITR:IND,25-12-2018,2161.039,2161.039,2161.039,2161.039
SPGSCITR:IND,24-12-2018,2161.039,2161.039,2161.039,2161.039
SPGSCITR:IND,21-12-2018,2237.224,2237.224,2237.224,2237.224
SPGSCITR:IND,20-12-2018,2245.685,2245.685,2245.685,2245.685
SPGSCITR:IND,19-12-2018,2309.345,2309.345,2309.345,2309.345
SPGSCITR:IND,18-12-2018,2281.206,2281.206,2281.206,2281.206
SPGSCITR:IND,17-12-2018,2355.194,2355.194,2355.194,2355.194
SPGSCITR:IND,14-12-2018,2387.694,2387.694,2387.694,2387.694
SPGSCITR:IND,13-12-2018,2427.664,2427.664,2427.664,2427.664
SPGSCITR:IND,12-12-2018,2398.615,2398.615,2398.615,2398.615
SPGSCITR:IND,11-12-2018,2408.352,2408.352,2408.352,2408.352
SPGSCITR:IND,10-12-2018,2401.094,2401.094,2401.094,2401.094
SPGSCITR:IND,07-12-2018,2446.545,2446.545,2446.545,2446.545
SPGSCITR:IND,06-12-2018,2396.418,2396.418,2396.418,2396.418
SPGSCITR:IND,05-12-2018,2451.221,2451.221,2451.221,2451.221
SPGSCITR:IND,04-12-2018,2451.221,2451.221,2451.221,2451.221
SPGSCITR:IND,03-12-2018,2437.548,2437.548,2437.548,2437.548
SPGSCITR:IND,30-11-2018,2388.633,2388.633,2388.633,2388.633
SPGSCITR:IND,29-11-2018,2397.955,2397.955,2397.955,2397.955
SPGSCITR:IND,28-11-2018,2375.731,2375.731,2375.731,2375.731
SPGSCITR:IND,27-11-2018,2386.264,2386.264,2386.264,2386.264
SPGSCITR:IND,26-11-2018,2396.064,2396.064,2396.064,2396.064
SPGSCITR:IND,23-11-2018,2370.127,2370.127,2370.127,2370.127
SPGSCITR:IND,22-11-2018,2478.871,2478.871,2478.871,2478.871
SPGSCITR:IND,21-11-2018,2478.871,2478.871,2478.871,2478.871
SPGSCITR:IND,20-11-2018,2456.666,2456.666,2456.666,2456.666
SPGSCITR:IND,19-11-2018,2555.557,2555.557,2555.557,2555.557
SPGSCITR:IND,16-11-2018,2538.22,2538.22,2538.22,2538.22
SPGSCITR:IND,15-11-2018,2524.002,2524.002,2524.002,2524.002
SPGSCITR:IND,14-11-2018,2540.548,2540.548,2540.548,2540.548
SPGSCITR:IND,13-11-2018,2502.746,2502.746,2502.746,2502.746
SPGSCITR:IND,12-11-2018,2594.567,2594.567,2594.567,2594.567
SPGSCITR:IND,09-11-2018,2591.708,2591.708,2591.708,2591.708
SPGSCITR:IND,08-11-2018,2610.926,2610.926,2610.926,2610.926
SPGSCITR:IND,07-11-2018,2636.914,2636.914,2636.914,2636.914
SPGSCITR:IND,06-11-2018,2638.203,2638.203,2638.203,2638.203
SPGSCITR:IND,05-11-2018,2663.527,2663.527,2663.527,2663.527
SPGSCITR:IND,02-11-2018,2658.602,2658.602,2658.602,2658.602
SPGSCITR:IND,01-11-2018,2660.089,2660.089,2660.089,2660.089
SPGSCITR:IND,31-10-2018,2692.356,2692.356,2692.356,2692.356
SPGSCITR:IND,30-10-2018,2712.582,2712.582,2712.582,2712.582
SPGSCITR:IND,29-10-2018,2745.653,2745.653,2745.653,2745.653
SPGSCITR:IND,26-10-2018,2760.871,2760.871,2760.871,2760.871
SPGSCITR:IND,25-10-2018,2743.159,2743.159,2743.159,2743.159
SPGSCITR:IND,24-10-2018,2735.966,2735.966,2735.966,2735.966
SPGSCITR:IND,23-10-2018,2736.488,2736.488,2736.488,2736.488
SPGSCITR:IND,22-10-2018,2802.864,2802.864,2802.864,2802.864
SPGSCITR:IND,19-10-2018,2798.795,2798.795,2798.795,2798.795
SPGSCITR:IND,18-10-2018,2787.299,2787.299,2787.299,2787.299
SPGSCITR:IND,17-10-2018,2817.684,2817.684,2817.684,2817.684
SPGSCITR:IND,16-10-2018,2857,2857,2857,2857
SPGSCITR:IND,15-10-2018,2852.437,2852.437,2852.437,2852.437
SPGSCITR:IND,12-10-2018,2832.573,2832.573,2832.573,2832.573
SPGSCITR:IND,11-10-2018,2820.666,2820.666,2820.666,2820.666
SPGSCITR:IND,10-10-2018,2876.728,2876.728,2876.728,2876.728
SPGSCITR:IND,09-10-2018,2923.189,2923.189,2923.189,2923.189
SPGSCITR:IND,08-10-2018,2905.104,2905.104,2905.104,2905.104
SPGSCITR:IND,05-10-2018,2908.429,2908.429,2908.429,2908.429
SPGSCITR:IND,04-10-2018,2912.728,2912.728,2912.728,2912.728
SPGSCITR:IND,03-10-2018,2956.024,2956.024,2956.024,2956.024
SPGSCITR:IND,02-10-2018,2928.699,2928.699,2928.699,2928.699
SPGSCITR:IND,01-10-2018,2917.345,2917.345,2917.345,2917.345
SPGSCITR:IND,28-09-2018,2859.443,2859.443,2859.443,2859.443
SPGSCITR:IND,27-09-2018,2829.641,2829.641,2829.641,2829.641
SPGSCITR:IND,26-09-2018,2820.362,2820.362,2820.362,2820.362
SPGSCITR:IND,25-09-2018,2836.698,2836.698,2836.698,2836.698
SPGSCITR:IND,24-09-2018,2823.977,2823.977,2823.977,2823.977
SPGSCITR:IND,21-09-2018,2785.119,2785.119,2785.119,2785.119
SPGSCITR:IND,20-09-2018,2769.863,2769.863,2769.863,2769.863
SPGSCITR:IND,19-09-2018,2773.677,2773.677,2773.677,2773.677
SPGSCITR:IND,18-09-2018,2749.157,2749.157,2749.157,2749.157
SPGSCITR:IND,17-09-2018,2723.211,2723.211,2723.211,2723.211
SPGSCITR:IND,14-09-2018,2729.146,2729.146,2729.146,2729.146
SPGSCITR:IND,13-09-2018,2727.705,2727.705,2727.705,2727.705
SPGSCITR:IND,12-09-2018,2769.401,2769.401,2769.401,2769.401
SPGSCITR:IND,11-09-2018,2744.872,2744.872,2744.872,2744.872
SPGSCITR:IND,10-09-2018,2716.514,2716.514,2716.514,2716.514
SPGSCITR:IND,07-09-2018,2707.504,2707.504,2707.504,2707.504
SPGSCITR:IND,06-09-2018,2700.079,2700.079,2700.079,2700.079
SPGSCITR:IND,05-09-2018,2721.56,2721.56,2721.56,2721.56
SPGSCITR:IND,04-09-2018,2748.556,2748.556,2748.556,2748.556
SPGSCITR:IND,03-09-2018,2751.35,2751.35,2751.35,2751.35
SPGSCITR:IND,31-08-2018,2751.35,2751.35,2751.35,2751.35
